BF-B,20150310,88.20,88.97,88.03,88.19,518800
BF-B,20150309,88.80,89.44,88.56,88.87,429600
BF-B,20150306,89.11,89.64,88.47,88.76,606200
BF-B,20150305,90.81,91.31,90.22,90.79,441700
BF-B,20150304,91.90,91.99,90.14,90.40,644000
BF-B,20150303,91.92,92.40,90.87,91.21,479200
BF-B,20150302,91.69,92.28,91.14,91.88,428700
BF-B,20150227,92.68,92.70,91.39,91.69,345500
BF-B,20150226,92.25,92.82,91.97,92.42,357800
BF-B,20150225,92.53,92.53,91.56,91.96,298300
BF-B,20150224,92.28,92.55,91.96,92.22,351800
BF-B,20150223,92.34,92.55,92.00,92.27,207300
BF-B,20150220,91.13,92.34,90.30,92.21,514000
BF-B,20150219,91.91,92.30,90.89,91.53,229600
BF-B,20150218,90.76,92.06,90.53,91.97,224400
BF-B,20150217,90.78,91.47,90.24,91.24,249100
BF-B,20150213,90.55,91.08,90.22,90.72,257400
BF-B,20150212,90.43,91.40,90.31,91.00,328800
BF-B,20150211,89.71,90.74,89.68,90.60,448800
BF-B,20150210,90.22,90.29,88.92,89.64,469300
BF-B,20150209,89.90,89.90,88.76,89.22,510100
BF-B,20150206,90.74,90.81,89.84,90.19,459900
BF-B,20150205,89.50,90.40,89.37,90.31,279400
BF-B,20150204,89.46,90.60,89.04,89.51,407200
BF-B,20150203,90.25,91.09,88.91,89.72,527800
BF-B,20150202,88.99,90.02,88.27,90.00,463100
BF-B,20150130,89.67,89.96,88.70,88.87,751700
BF-B,20150129,90.34,90.69,89.00,90.44,398000
BF-B,20150128,91.80,91.99,90.09,90.18,368200
BF-B,20150127,91.69,91.94,90.65,91.01,433400
BF-B,20150126,92.92,92.99,91.92,92.49,386900
BF-B,20150123,93.83,93.83,92.12,92.92,494200
BF-B,20150122,92.30,93.47,91.02,93.38,670600
BF-B,20150121,90.56,92.18,90.39,91.76,544100
BF-B,20150120,90.50,91.29,89.16,91.05,505600
BF-B,20150116,88.53,89.49,88.28,89.44,682800
BF-B,20150115,89.17,89.92,88.38,88.75,494300
BF-B,20150114,88.50,89.30,88.16,89.14,388900
BF-B,20150113,90.13,90.98,88.68,89.33,313500
BF-B,20150112,89.62,89.88,88.83,89.56,482400
BF-B,20150109,90.78,90.90,89.04,89.09,405300
BF-B,20150108,89.72,90.35,89.14,90.14,714400
BF-B,20150107,87.78,89.16,87.06,88.78,501500
BF-B,20150106,88.02,88.69,86.95,87.29,905000
BF-B,20150105,87.61,88.42,87.61,87.77,552400
BF-B,20150102,87.96,88.53,87.49,88.25,602000
BF-B,20141231,88.80,89.30,87.77,87.84,475100
BF-B,20141230,89.76,89.76,88.67,88.75,404000
BF-B,20141229,90.00,90.19,89.46,89.76,242100
BF-B,20141226,90.51,91.00,90.09,90.27,268600
BF-B,20141224,90.23,90.68,89.85,90.41,248900
BF-B,20141223,89.50,90.21,88.84,90.01,412200
BF-B,20141222,88.34,89.18,88.34,89.12,585200
BF-B,20141219,88.94,89.31,87.80,88.12,1104700
BF-B,20141218,87.95,88.78,87.89,88.78,755700
BF-B,20141217,86.05,87.68,85.43,87.19,487600
BF-B,20141216,85.84,87.67,85.55,85.67,673500
BF-B,20141215,86.65,87.54,86.18,86.62,783600
BF-B,20141212,88.47,89.47,86.55,86.56,723400
