Date,Open,High,Low,Close,Volume,Adj Close
2015-07-10,157.10,159.30,155.65,158.75,1281900,158.75
2015-07-09,150.60,154.10,150.40,153.40,1296600,153.40
2015-07-08,149.45,151.35,149.00,149.35,1476100,149.35
2015-07-07,154.30,154.35,147.95,147.95,1508200,147.95
2015-07-06,154.70,156.10,152.90,153.25,1261200,153.25
2015-07-03,159.00,159.65,156.95,157.65,602000,157.65
2015-07-02,162.40,162.45,158.75,158.90,732200,158.90
2015-07-01,159.65,163.25,157.90,161.65,1423400,161.65
2015-06-30,160.75,161.60,157.15,157.15,2018600,157.15
2015-06-29,164.70,167.15,163.10,163.60,1468000,163.60
2015-06-26,169.80,173.25,169.05,171.20,781100,171.20
2015-06-25,169.25,172.00,167.95,170.90,1267700,170.90
2015-06-24,170.25,171.35,168.50,170.85,873700,170.85
2015-06-23,169.50,171.30,168.25,170.35,821200,170.35
2015-06-22,163.50,168.30,163.25,168.00,1226000,168.00
2015-06-19,159.95,163.85,159.40,159.95,1361100,159.95
2015-06-18,158.55,159.95,155.75,159.90,1021300,159.90
2015-06-17,160.70,161.70,157.60,159.20,925200,159.20
2015-06-16,158.45,161.15,157.50,160.30,919900,160.30
2015-06-15,160.50,161.95,159.85,159.85,727500,159.85
2015-06-12,165.55,166.70,160.70,162.35,915400,162.35
2015-06-11,162.55,167.95,162.35,165.50,1311200,165.50
2015-06-10,154.65,162.55,153.85,161.55,1376600,161.55
2015-06-09,160.05,160.40,154.00,155.15,1791200,155.15
2015-06-08,160.95,163.25,160.05,160.25,768000,160.25
2015-06-05,162.80,163.05,160.15,160.30,802300,160.30
2015-06-04,164.35,165.85,161.15,163.45,1075500,163.45
2015-06-03,165.95,168.05,164.40,165.55,721000,165.55
2015-06-02,165.45,167.70,164.20,165.10,1299200,165.10
2015-06-01,161.00,163.75,160.95,163.20,636500,163.20
2015-05-29,166.85,166.95,162.10,162.15,1251500,162.15
2015-05-28,166.85,168.50,165.15,166.55,654700,166.55
2015-05-27,165.60,168.30,164.30,167.85,924700,167.85
2015-05-26,166.10,167.75,164.25,165.00,746700,165.00
2015-05-25,166.75,166.75,165.30,165.90,74400,165.90
